party,votes
Bangladesh Nationalist Party (BNP),36483428
Bangladesh Jamaat-e-Islami (Jamaat),22716478
Independent Candidate (Independent),2443393
National Citizen Party (NCP),2173172
Bangladesh Khelafat Majlish (BKM),1256718
Islami Andolan Bangladesh (IAB),591204
Khelafat Majlis,523692
Jamiat Ulema-e-Islam Bangladesh (JUIB),348987
Bangladesh Liberal Democratic Party (LDP),255115
Islamic Front Bangladesh (IFB),208404
Gono Odhikar Parishad (GOP),204489
Amar Bangladesh Party (AB),190590
Bangladesh Development Party (BDP),128519
Bangladesh Jatiya Party (BJP),105543
Ganosanhati Andolan (GSA),95806
Jatiya Party (JaPa),33248
Revolutionary Workers Party of Bangladesh (RWPB),32034
Jatiya Party (Manju) (JP–Manju),5686
Bangladesh Samajtantrik Dal (Basad),2038
Bangladesh Republican Party (BRP),1492
Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),1334
Bangladesh Congress,1036
Bangladesh Islami Front (BIF),844
Bangladesh Muslim League (BML),829
Communist Party of Bangladesh (CPB),695
Insaniyat Biplob Bangladesh (IBB),623
Bangladesh Sangskritik Muktijote (BSM),616
Bangladesh Khelafat Andolon (BKA),310
Janotar Dol,283
Bangladesh Nationalist Front (BNF),233
